AGENT;ID;AGE;SEXE;AGE4T;PROF;RS4;HABITAT;Revenu;CP;TLUDA9;TLUDA5;TLCC9;TLCC5;RS3;CSP;C1;C2;C4;C3;O_C3;NRJ;QP1;QP2;QP3_A1;QP3_A2;QP3_A3;QP4;QP5_A1;QP5_A2;QP5_A3;QP5_A4;QP5_A5;QP5_A6;QP6_A1;QP6_A2;QP6_A3;QP6_A4;QP6_A5;QP6_A6;QP6_A7;QP7_M1;O_QP7_M1;QP7_M2;O_QP7_M2;QP7_M3;O_QP7_M3;QF1;QF2;QF3;QF4;QF5;QF6;QR1_A1;QR1_A2;QR1_A3;QR1_A4;QR1_A5;QR1_A6;QR1_A7;QR1_A8;QR1_A9;QR1_A10;QR1_A11;QR2;Q_F1;Q_F2;Q_F3;Q_F4;Q_F5;Q_F6;Q_F7;Q_F8;Q_F9_M1;O_Q_F9_M1;Q_F9_M2;O_Q_F9_M2;Q_F9_M3;O_Q_F9_M3;Q_F10;QE1;QE2;QE3;QE4;QE5;QE6_M1;O_QE6_M1;QE6_M2;O_QE6_M2;QE6_M3;O_QE6_M3;QE6_M4;O_QE6_M4;QE6_M5;O_QE6_M5;QE6_M6;O_QE6_M6;QE6_M7;O_QE6_M7;QE6_M8;O_QE6_M8;QE6_M9;O_QE6_M9;QE6_M10;O_QE6_M10;QE6_M11;O_QE6_M11;QE7;QE8;QA1;QA2;QA3;QA4;QA5;HABITAT.1;QC5;QC6;QC7;QC8;QC9;QC10;QC11;QC12;QC13_M1;QC13_M2;QC13_M3;QC13_M4;QC13_M5;QC13_M6;QC13_M7;QC13_M8;QC13_M9;QC13_M10;QC13_M11;QC13_M12;QC13_M13;QC14;QC15;QC16;S9;S10;QC17;S4;QC18_M1;QC18_M2;QC18_M3;QC18_M4;QC18_M5;POIDS;PROF.1;RS4.1;Typeabonnement;Typecompteur;Puissancesouscrite;Typecommune;Radiateurselectriques;Balloneauchaudeelectrique;Bornerecharge;Autresourceenergie;Q11;Q12;Q13;Q14;Q2;Q3;Q4;Q51;Q52;Q6;Q71;Q72;Q8;Q91;Q92;Q10;Q111;Q112;Q131;Q132;Q141;Q151;Q152;Q16;Q17;Q181;Q182;Q19;Q20;Q21;Q22;Q24;Q25;RS11;prob5inf;prob5sup;Q11B;Q12B;Q13B;Q14B;Q2B;Q3B;Q4B;Q51B;Q52B;Q6B;score16;score15;probinf;probsup
AG1002;24132;70;Femme;>= 60 ans;Profession intermediaire, contremaÃ®tre;Non;Appartement;6;94400;1;1;9;5;1;1;1.0;;1;1;;1;2;2;2;1;2;2;99;99;3;3;3;2;;;2.0;2.0;3.0;1.0;1;5;;2.0;;3.0;;5;1;2;2;99;3;2.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2;4;2;2;3;;;3;;8.0;;1.0;;3.0;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;6.0;2;3;3;2;3;2;4;6;99;3;3;3;2;8.0;3.0;1.0;6.0;9.0;7.0;13.0;5.0;;;;;2;;1;2;1.0;2;5;97;;;;;0,787579;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG1003;24132;70;Femme;>= 60 ans;Profession intermediaire, contremaÃ®tre;Non;Appartement;6;94400;1;1;9;5;1;1;1.0;;1;1;;1;2;2;2;1;2;2;99;99;3;3;3;2;;;2.0;2.0;3.0;1.0;1;5;;2.0;;3.0;;5;1;2;2;99;3;2.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2;4;2;2;3;;;3;;8.0;;1.0;;3.0;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;6.0;2;3;3;2;3;2;4;6;99;3;3;3;2;8.0;3.0;1.0;6.0;9.0;7.0;13.0;5.0;;;;;2;;1;2;1.0;2;5;97;;;;;0,787579;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG330;7731;66;Femme;>= 60 ans;Profession intermediaire, contremaÃ®tre;Non;Maison;7;60220;6;3;1;1;1;1;1.0;;1;1;;1;1;2;3;2;2;3;3;3;3;3;3;99;4.0;3.0;3.0;2.0;3.0;;2;2;;3.0;;4.0;;5;1;2;1;4;2;1.0;2.0;2.0;3.0;2.0;1.0;1.0;2.0;3.0;2.0;1.0;2;3;3;2;3;;;3;;8.0;;7.0;;5.0;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;1;3;4;1;6;4;3;3;2;5;5;2;1;8.0;5.0;3.0;6.0;13.0;;;;;;;;2;;1;1;;4;5;97;;;;;0,829114;4;2;HP/HC;Triphase;9;Rurale;Oui;Oui;Non;Non;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, plutot;Oui, tout a fait;Oui, plutot;Oui, plutot;Oui, tout a fait;Non;;;;;;;Oui, un peu;Non;;;Oui;Micro-ondes,Television;;Oui, jÂetais present seul;Non;;;;;Non, pas du tout;Pas du tout gene;Non, pas du tout;Ne se prononce pas;Oui;0.67;0.99;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;9.0;9.0;0.5;0.5
AG331;7731;66;Femme;>= 60 ans;Profession intermediaire, contremaÃ®tre;Non;Maison;7;60220;6;3;1;1;1;1;1.0;;1;1;;1;1;2;3;2;2;3;3;3;3;3;3;99;4.0;3.0;3.0;2.0;3.0;;2;2;;3.0;;4.0;;5;1;2;1;4;2;1.0;2.0;2.0;3.0;2.0;1.0;1.0;2.0;3.0;2.0;1.0;2;3;3;2;3;;;3;;8.0;;7.0;;5.0;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;1;3;4;1;6;4;3;3;2;5;5;2;1;8.0;5.0;3.0;6.0;13.0;;;;;;;;2;;1;1;;4;5;97;;;;;0,829114;4;1;HP/HC;Triphase;9;Rurale;Oui;Oui;Non;Non;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, plutot;Oui, tout a fait;Oui, plutot;Oui, plutot;Oui, tout a fait;Non;;;;;;;Oui, un peu;Non;;;Oui;Micro-ondes,Television;;Oui, jÂetais present seul;Non;;;;;Non, pas du tout;Pas du tout gene;Non, pas du tout;Ne se prononce pas;Oui;0.67;0.99;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;9.0;9.0;0.5;0.5
AG2105;56837;66;Femme;>= 60 ans;Profession intermediaire, contremaÃ®tre;Oui;Maison;5;85430;3;2;1;1;2;1;1.0;;2;1;;1;2;2;2;2;1;1;1;3;3;3;99;99;3.0;4.0;2.0;1.0;;;1;2;;3.0;;4.0;;1;1;1;1;1;4;2.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0;2;4;2;3;2;3.0;3.0;2;5.0;;;;;;;2;1;;2.0;;2.0;3.0;;5.0;;4.0;;;;;;;;;;;;;;;;;;4.0;1;1;2.0;2;3;4;1;5;5;4;3;99;6;1;1;1;6.0;10.0;7.0;2.0;3.0;5.0;13.0;8.0;;;;;2;;1;2;1.0;3;4;2;1.0;4.0;5.0;;0,857731;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG10;256;80;Femme;>= 60 ans;Retraite;Non;Appartement;4;31150;7;4;8;4;2;3;;;1;1;;1;2;2;2;3;3;2;99;2;1;2;99;99;;2.0;3.0;2.0;;;2;5;;2.0;;1.0;;5;1;2;2;3;4;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3;4;2;2;2;3.0;2.0;2;50.0;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1.0;2;2;3;2;3;3;6;1;2;1;1;1;8;10.0;13.0;3.0;5.0;6.0;2.0;7.0;1.0;;;;;2;;1;1;;4;7;4;;;;;0,934715;8;2;Tempo;Monophase;6;Rurale;Non;Oui;Non;Non;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, plutot;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Oui, plutot;Oui, plutot;Non;;;;;;;Non, pas vraiment;Non;;;Non;;;Oui, jÂetais present seul;Non;;;;;Non, pas vraiment;Pas du tout gene;Oui, plutot;Est inchangee;Oui;0.66;0.81;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;9.0;9.0;0.2;0.96
AG11;256;80;Femme;>= 60 ans;Retraite;Non;Appartement;4;31150;7;4;8;4;2;3;;;1;1;;1;2;2;2;3;3;2;99;2;1;2;99;99;;2.0;3.0;2.0;;;2;5;;2.0;;1.0;;5;1;2;2;3;4;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3;4;2;2;2;3.0;2.0;2;50.0;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1.0;2;2;3;2;3;3;6;1;2;1;1;1;8;10.0;13.0;3.0;5.0;6.0;2.0;7.0;1.0;;;;;2;;1;1;;4;7;4;;;;;0,934715;8;2;Tarif de base;Monophase;9;Urbaine;Oui;Non;Non;Non;Non, pas du tout;Non, pas du tout;Non, pas du tout;Non, pas du tout;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;Vous ne jugez pas ce dispositif utile;;Tres facile;;;;;;;;;;;;;;;;Oui, tout a fait;Est inchangee;Non;0.52;0.97;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;5.0;5.0;0.2;0.96
AG29;490;68;Femme;>= 60 ans;Retraite;Non;Appartement;6;6400;9;5;8;4;3;3;;;2;1;;1;2;2;2;3;3;3;2;99;2;2;99;2;4.0;;3.0;3.0;;2.0;1;2;;4.0;;5.0;;5;1;1;2;99;2;1.0;1.0;3.0;1.0;3.0;1.0;1.0;2.0;3.0;1.0;1.0;1;3;3;2;4;;;4;;5.0;;1.0;;6.0;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3.0;3;2;4;2;3;4;4;3;99;3;2;1;13;1.0;7.0;6.0;3.0;5.0;;;;;;;;2;;2;2;1.0;2;5;97;;;;;0,914419;8;2;Tarif de base;Monophase;6;Rurale;Oui;Oui;Non;Non;Ne se prononce pas;Oui, plutot;Non, pas du tout;Oui, plutot;Oui, plutot;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Oui, beaucoup;Non;;;Non;;;Oui, jÂetais present seul;Non;;;;;Oui, plutot;Pas du tout gene;Ne se prononce pas;Est inchangee;Non;0.51;0.67;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;7.0;7.0;0.2;0.96
AG106;2586;74;Femme;>= 60 ans;Retraite;Non;Appartement;5;6100;9;5;8;4;3;3;;;1;1;;1;2;2;3;2;2;3;99;99;3;3;3;99;;;2.0;3.0;3.0;;3;4;;2.0;;5.0;;5;99;1;2;99;2;1.0;1.0;3.0;2.0;3.0;3.0;1.0;3.0;4.0;3.0;2.0;2;3;3;2;3;;;3;;7.0;;8.0;;1.0;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;7.0;2;2;3;2;3;3;4;4;99;3;1;1;2;1.0;5.0;10.0;6.0;7.0;3.0;13.0;8.0;;;;;2;;1;1;;4;8;97;;;;;0,914419;8;2;Tarif de base;Monophase;6;Rurale;Non;Non;Non;Non;Ne se prononce pas;Oui, tout a fait;Oui, tout a fait;Ne se prononce pas;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non, pas vraiment;Oui, plutot;Non;;;;Vous ne jugez pas ce dispositif utile;;Plutot facile;;;;;;;;;;;;;;;;Non, pas vraiment;S'est amelioree;Non;0.51;0.67;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;6.0;6.0;0.2;0.96
AG197;4480;62;Femme;>= 60 ans;Retraite;Non;Appartement;4;6700;9;5;8;4;3;3;;;2;1;;1;2;2;4;4;4;1;99;99;3;1;1;1;;;1.0;1.0;1.0;1.0;1;2;;4.0;;5.0;;5;1;1;2;2;3;1.0;1.0;4.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;2;3;2;2;3;;;3;;7.0;;3.0;;5.0;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1.0;1;4;3;2;3;3;4;2;2;1;1;1;8;5.0;9.0;1.0;10.0;2.0;3.0;13.0;;;;;;2;;1;2;1.0;3;4;97;;;;;0,914419;8;2;HP/HC;Monophase;6;Rurale;Non;Non;Non;Non;Oui, tout a fait;Non, pas vraiment;Non, pas du tout;Oui, tout a fait;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Oui, beaucoup;Non;;;Oui;Autres;BALLON D'EAU  CHAUDE;Oui, jÂetais present seul;Non;;;;;Oui, tout a fait;Pas du tout gene;Oui, plutot;Est inchangee;Non;0.52;0.94;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;7.0;7.0;0.2;0.96
AG225;5247;65;Femme;>= 60 ans;Retraite;Non;Appartement;5;62100;4;3;6;3;1;3;;;2;1;;1;2;2;2;4;3;2;3;99;1;1;99;3;2.0;;2.0;2.0;;2.0;2;2;;3.0;;5.0;;5;1;2;2;5;4;1.0;1.0;2.0;3.0;2.0;1.0;1.0;1.0;2.0;3.0;1.0;1;3;3;1;3;;;4;;7.0;;6.0;;5.0;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;1;4;4;2;5;5;3;6;99;2;2;3;7;13.0;1.0;3.0;6.0;8.0;2.0;;;;;;;2;;2;2;1.0;4;4;97;;;;;0,887814;8;2;HP/HC;Monophase;6;Urbaine;Oui;Oui;Non;Non;Non, pas du tout;Oui, plutot;Oui, tout a fait;Non, pas du tout;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;La limitation de puissance etait trop contraignante;;Tres facile;;;;;;;;;;;;;;;;Oui, tout a fait;Est inchangee;Non;0.66;0.67;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;7.0;7.0;0.2;0.96
AG266;6197;70;Femme;>= 60 ans;Retraite;Non;Appartement;4;30620;9;5;7;4;3;3;;;1;1;;1;1;1;3;3;3;2;99;99;1;3;99;99;;;3.0;2.0;;;2;3;;5.0;;2.0;;5;99;2;2;3;3;1.0;1.0;3.0;2.0;3.0;2.0;2.0;2.0;4.0;2.0;2.0;1;3;4;1;4;;;4;;1.0;;9.0;;5.0;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1.0;1;4;3;2;3;3;6;3;2;1;1;1;6;8.0;5.0;1.0;2.0;9.0;7.0;10.0;4.0;3.0;;;;2;;1;1;;4;4;2;1.0;;;;0,914419;8;2;Tarif de base;Triphase;12;Urbaine;Oui;Non;Non;Non;Non, pas vraiment;Oui, plutot;Non, pas vraiment;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non, pas vraiment;Non, pas vraiment;Non;;;;;;;Non, pas vraiment;Oui;Television,Lave-vaisselle,Lave-linge,Micro-ondes,Machine a cafe,Fer a repasser,Four,Bouilloire,Plaques de cuisson,Aspirateur;;Oui;Machine a cafe,Autres;GRILLE PAIN;Oui, jÂetais present seul;Non;;;;;Oui, plutot;Pas du tout gene;Ne se prononce pas;Est inchangee;Non;0.51;0.67;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;5.0;5.0;0.2;0.96
AG301;6934;69;Femme;>= 60 ans;Retraite;Non;Appartement;2;31400;7;4;8;4;2;3;;;1;1;;1;2;2;2;3;3;2;3;99;3;3;2;2;4.0;;4.0;4.0;4.0;4.0;4;2;;3.0;;4.0;;4;99;99;99;99;1;1.0;1.0;2.0;1.0;2.0;1.0;1.0;2.0;3.0;2.0;1.0;1;3;3;1;3;;;4;;1.0;;;;;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;7.0;1;3;4;2;1;2;3;3;3;3;2;1;7;3.0;6.0;8.0;1.0;13.0;;;;;;;;2;;1;1;;4;5;97;;;;;0,934715;8;2;HP/HC;Monophase;9;Urbaine;Oui;Oui;Non;Non;Ne se prononce pas;Oui, tout a fait;Ne se prononce pas;Ne se prononce pas;Non, pas du tout;Oui, plutot;Non, pas du tout;Ne se prononce pas;Oui, tout a fait;Non;;;;Vous ne jugez pas ce dispositif utile;;Tres facile;;;;;;;;;;;;;;;;Non, pas vraiment;Est inchangee;Non;0.66;0.81;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;3.0;3.0;0.2;0.96
AG302;6934;69;Femme;>= 60 ans;Retraite;Non;Appartement;2;31400;7;4;8;4;2;3;;;1;1;;1;2;2;2;3;3;2;3;99;3;3;2;2;4.0;;4.0;4.0;4.0;4.0;4;2;;3.0;;4.0;;4;99;99;99;99;1;1.0;1.0;2.0;1.0;2.0;1.0;1.0;2.0;3.0;2.0;1.0;1;3;3;1;3;;;4;;1.0;;;;;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;7.0;1;3;4;2;1;2;3;3;3;3;2;1;7;3.0;6.0;8.0;1.0;13.0;;;;;;;;2;;1;1;;4;5;97;;;;;0,934715;8;2;Tempo;Monophase;6;Rurale;Non;Oui;Non;Non;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, plutot;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Oui, plutot;Oui, plutot;Non;;;;;;;Non, pas vraiment;Non;;;Non;;;Oui, jÂetais present seul;Non;;;;;Non, pas vraiment;Pas du tout gene;Oui, plutot;Est inchangee;Oui;0.66;0.81;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;9.0;9.0;0.2;0.96
AG396;9260;81;Femme;>= 60 ans;Retraite;Non;Appartement;1;83400;9;5;8;4;3;3;;;1;1;;1;2;2;4;2;3;2;99;99;1;99;2;99;;;4.0;;2.0;;2;2;;4.0;;;;5;99;1;2;2;3;1.0;2.0;4.0;4.0;2.0;2.0;2.0;2.0;4.0;2.0;2.0;1;3;3;2;3;;;3;;1.0;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;5.0;1;3;4;2;2;2;7;1;99;1;1;1;8;10.0;5.0;6.0;1.0;3.0;13.0;;;;;;;2;;1;1;;4;4;2;;;;;0,914419;8;2;Tarif de base;Monophase;12;Rurale;Non;Non;Non;Non;Ne se prononce pas;Oui, plutot;Non, pas du tout;Oui, plutot;Ne se prononce pas;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Non, pas du tout;Non;;;Non;;;Oui, jÂetais present seul;Non;;;;;Ne se prononce pas;Pas du tout gene;Oui, tout a fait;Est inchangee;Non;0.52;0.97;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;6.0;6.0;0.2;0.96
AG404;9417;63;Femme;>= 60 ans;Retraite;Non;Appartement;4;71100;6;3;6;3;1;3;;;1;1;;1;2;2;3;3;3;2;99;99;2;3;3;99;;;2.0;2.0;2.0;;2;2;;5.0;;;;5;1;1;99;99;3;2.0;2.0;3.0;2.0;3.0;2.0;1.0;3.0;4.0;2.0;2.0;2;3;2;2;2;3.0;2.0;3;;8.0;;7.0;;5.0;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;7.0;2;3;2;2;5;6;4;6;99;98;1;1;10;5.0;2.0;9.0;6.0;7.0;3.0;1.0;13.0;8.0;;;;2;;1;1;;4;5;97;;;;;0,887814;8;2;HP/HC;Monophase;6;Urbaine;Non;Non;Non;Non;Non, pas vraiment;Non, pas du tout;Non, pas vraiment;Non, pas vraiment;Non, pas vraiment;Oui, tout a fait;Non, pas vraiment;Non, pas du tout;Non, pas du tout;Non;;;;;;;Non, pas vraiment;Non;;;Non;;;Oui, jÂetais present seul;Non;;;;;Non, pas vraiment;Pas du tout gene;Non, pas du tout;Est inchangee;Non;0.5;0.5;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.2;0.96
AG405;9417;63;Femme;>= 60 ans;Retraite;Non;Appartement;4;71100;6;3;6;3;1;3;;;1;1;;1;2;2;3;3;3;2;99;99;2;3;3;99;;;2.0;2.0;2.0;;2;2;;5.0;;;;5;1;1;99;99;3;2.0;2.0;3.0;2.0;3.0;2.0;1.0;3.0;4.0;2.0;2.0;2;3;2;2;2;3.0;2.0;3;;8.0;;7.0;;5.0;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;7.0;2;3;2;2;5;6;4;6;99;98;1;1;10;5.0;2.0;9.0;6.0;7.0;3.0;1.0;13.0;8.0;;;;2;;1;1;;4;5;97;;;;;0,887814;8;2;Tarif de base;Monophase;12;Rurale;Non;Non;Non;Non;Ne se prononce pas;Oui, plutot;Non, pas du tout;Oui, plutot;Ne se prononce pas;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Non, pas du tout;Non;;;Non;;;Oui, jÂetais present seul;Non;;;;;Ne se prononce pas;Pas du tout gene;Oui, tout a fait;Est inchangee;Non;0.52;0.97;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;6.0;6.0;0.2;0.96
AG442;10052;66;Femme;>= 60 ans;Retraite;Non;Appartement;4;76200;2;2;5;3;1;3;;;1;1;;1;1;2;2;3;3;3;3;99;2;3;99;2;3.0;;3.0;3.0;;3.0;3;2;;5.0;;;;5;1;2;2;99;1;2.0;4.0;2.0;4.0;4.0;4.0;2.0;4.0;4.0;4.0;2.0;2;3;1;2;4;;;4;;7.0;;4.0;;8.0;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;7.0;1;4;4;2;3;4;2;3;99;2;2;3;6;5.0;10.0;13.0;8.0;3.0;1.0;;;;;;;2;;2;1;;3;5;97;;;;;0,887814;8;2;Tarif de base;Monophase;9;Urbaine;Oui;Non;Non;Non;Non, pas du tout;Non, pas du tout;Non, pas du tout;Non, pas du tout;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;Vous ne jugez pas ce dispositif utile;;Tres facile;;;;;;;;;;;;;;;;Oui, tout a fait;Est inchangee;Non;0.52;0.97;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;5.0;5.0;0.2;0.96
AG572;12996;73;Femme;>= 60 ans;Retraite;Non;Appartement;9;77100;1;1;6;3;1;3;;;1;1;;1;1;99;3;2;3;2;99;99;3;2;3;3;;;3.0;2.0;2.0;3.0;3;4;;2.0;;;;5;99;1;2;99;99;2.0;3.0;2.0;3.0;3.0;3.0;2.0;3.0;3.0;2.0;2.0;2;2;2;2;3;;;3;;5.0;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1.0;1;3;3;2;4;3;4;2;99;3;3;1;4;7.0;13.0;3.0;1.0;2.0;6.0;9.0;;;;;;2;;1;1;;4;7;4;5.0;;;;0,887814;8;0;HP/HC;Monophase;6;Rurale;Non;Oui;Non;Oui;Oui, tout a fait;Oui, tout a fait;Oui, plutot;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Non, pas vraiment;Non;;;Non;;;Oui, jÂetais present seul;Non;;;;;Oui, tout a fait;Pas du tout gene;Oui, tout a fait;Est inchangee;Non;0.51;0.67;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;9.0;9.0;0.2;0.96
AG573;12996;73;Femme;>= 60 ans;Retraite;Non;Appartement;9;77100;1;1;6;3;1;3;;;1;1;;1;1;99;3;2;3;2;99;99;3;2;3;3;;;3.0;2.0;2.0;3.0;3;4;;2.0;;;;5;99;1;2;99;99;2.0;3.0;2.0;3.0;3.0;3.0;2.0;3.0;3.0;2.0;2.0;2;2;2;2;3;;;3;;5.0;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1.0;1;3;3;2;4;3;4;2;99;3;3;1;4;7.0;13.0;3.0;1.0;2.0;6.0;9.0;;;;;;2;;1;1;;4;7;4;5.0;;;;0,887814;8;0;Tarif de base;Monophase;6;Urbaine;Non;Non;Non;Oui;Oui, plutot;Oui, tout a fait;Ne se prononce pas;Non, pas vraiment;Oui, tout a fait;Non, pas du tout;Oui, plutot;Ne se prononce pas;Non, pas du tout;Non;;;;;;;Oui, beaucoup;Non;;;Oui;Machine a cafe,Plaques de cuisson,Four;;Non, il nÂy avait personne a mon domicile;Non;;;;;Ne se prononce pas;Ne se prononce pas;Oui, plutot;S'est degradee;Non;0.66;0.81;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;4.0;4.0;0.2;0.96
AG583;13202;74;Femme;>= 60 ans;Retraite;Non;Appartement;4;59650;4;3;8;4;1;3;;;1;1;;1;2;2;2;3;2;2;3;99;1;3;99;3;3.0;;1.0;2.0;;1.0;1;2;;5.0;;3.0;;5;1;1;2;99;1;1.0;1.0;3.0;2.0;3.0;1.0;2.0;2.0;4.0;2.0;2.0;1;3;3;1;3;;;4;;1.0;;7.0;;9.0;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3.0;1;4;4;2;3;5;4;6;99;2;2;2;2;5.0;1.0;3.0;6.0;8.0;13.0;;;;;;;2;;2;1;;4;8;97;;;;;0,903529;8;0;HP/HC;Monophase;9;Urbaine;Non;Oui;Non;Non;Oui, tout a fait;Oui, plutot;Oui, tout a fait;Oui, plutot;Oui, plutot;Oui, tout a fait;Non, pas vraiment;Oui, plutot;Oui, plutot;Non;;;;;;;Non, pas vraiment;Oui;Lave-linge,Lave-vaisselle,Plaques de cuisson;;Oui;Four,Machine a cafe,Box internet,Bouilloire,Television,Ordinateur;;Oui, jÂetais present avec une ou plusieurs autres personnes;Non;;;;;Oui, plutot;Pas du tout gene;Non, pas vraiment;Est inchangee;Oui;0.66;0.81;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;8.0;8.0;0.2;0.96
AG584;13202;74;Femme;>= 60 ans;Retraite;Non;Appartement;4;59650;4;3;8;4;1;3;;;1;1;;1;2;2;2;3;2;2;3;99;1;3;99;3;3.0;;1.0;2.0;;1.0;1;2;;5.0;;3.0;;5;1;1;2;99;1;1.0;1.0;3.0;2.0;3.0;1.0;2.0;2.0;4.0;2.0;2.0;1;3;3;1;3;;;4;;1.0;;7.0;;9.0;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3.0;1;4;4;2;3;5;4;6;99;2;2;2;2;5.0;1.0;3.0;6.0;8.0;13.0;;;;;;;2;;2;1;;4;8;97;;;;;0,903529;8;0;Tarif de base;Monophase;6;Urbaine;Non;Non;Non;Oui;Oui, plutot;Oui, tout a fait;Ne se prononce pas;Non, pas vraiment;Oui, tout a fait;Non, pas du tout;Oui, plutot;Ne se prononce pas;Non, pas du tout;Non;;;;;;;Oui, beaucoup;Non;;;Oui;Machine a cafe,Plaques de cuisson,Four;;Non, il nÂy avait personne a mon domicile;Non;;;;;Ne se prononce pas;Ne se prononce pas;Oui, plutot;S'est degradee;Non;0.66;0.81;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;4.0;4.0;0.2;0.96
